"Time","HandlingTime","SpaceClearanceRate"
0,0.05,0.0125
1,0.049084136722733325,0.014937205547103805
2,0.048340674951636776,0.01691855573680269
3,0.047886577144686235,0.018432020820159767
4,0.047509344104474424,0.019745107813045962
5,0.046910024781886814,0.02119152966164013
6,0.04581749253570982,0.022829144685791433
7,0.04455118292985578,0.02443835825805314
8,0.043844543523903164,0.02570470719225925
9,0.04357030629664212,0.026560324000797633
10,0.04326678494126486,0.027422489399862953
11,0.04232896718552377,0.02867000291960153
12,0.04020413951384515,0.03019082248882029
13,0.03865602554097468,0.03154188344232293
14,0.038457297468499206,0.0321242852988177
15,0.038412490382570524,0.03243642094188101
16,0.03819580208170911,0.03303349180821179
17,0.03626366157875024,0.03434877453657637
18,0.031652698715998205,0.03597359087590155
19,0.030450888562391205,0.036937228325700004
20,0.0304433443460285,0.03704056868689699
21,0.03044109907500429,0.03710313683348388
22,0.030400796735571285,0.03733440493219946
23,0.028957291423945517,0.03842193865475155
24,0.0208202450557536,0.04036993633319937
25,0.01799352588089561,0.04160128497489568
26,0.017990625976895654,0.041653681408318974
27,0.017990404154465244,0.041671521196968694
28,0.01798748406787209,0.0417293515942198
29,0.017756431066442726,0.04218585825192244
30,0.010676899968965408,0.04433322415214966
31,0.0030295136722897926,0.04655667116097717
32,0.0030153655045038596,0.04666084816289449
33,0.0030143145900468358,0.04669557983653556
34,0.0030019527373417202,0.04680291985791776
35,0.0022360822243126643,0.047594648124480936
